    2    1.0000    4.7169
   33 1.0000e+000 1.0000e+000    1
 4.0487e+002 1.2038e+002
 3.9362e+002 1.5713e+002
 3.8612e+002 1.8638e+002
 3.8537e+002 2.1338e+002
 3.8387e+002 2.4038e+002
 3.8537e+002 2.7113e+002
 3.8762e+002 3.0113e+002
 3.8762e+002 3.2588e+002
 3.9062e+002 3.4913e+002
 3.9362e+002 3.8437e+002
 4.0112e+002 4.2712e+002
 4.1537e+002 4.6087e+002
 4.2362e+002 4.9162e+002
 4.2962e+002 5.1262e+002
 4.4387e+002 5.4637e+002
 4.6937e+002 5.7187e+002
 4.9262e+002 5.7712e+002
 5.3388e+002 5.7787e+002
 5.5863e+002 5.5537e+002
 5.7963e+002 5.1937e+002
 5.9238e+002 5.0812e+002
 6.1038e+002 4.8487e+002
 6.3063e+002 4.5487e+002
 6.5013e+002 4.1287e+002
 6.5613e+002 3.8887e+002
 6.6588e+002 3.4463e+002
 6.7113e+002 3.1238e+002
 6.7188e+002 2.8013e+002
 6.7938e+002 2.5013e+002
 6.9213e+002 2.1563e+002
 6.9888e+002 1.9313e+002
 7.0713e+002 1.7663e+002
 7.1088e+002 1.6463e+002
   31 1.0000e+000 1.0000e+000    1
 4.5962e+002 1.2863e+002
 4.5137e+002 1.6163e+002
 4.4462e+002 1.8113e+002
 4.3712e+002 2.0213e+002
 4.3112e+002 2.3288e+002
 4.2812e+002 2.5988e+002
 4.2887e+002 2.9288e+002
 4.3412e+002 3.4088e+002
 4.3562e+002 3.7012e+002
 4.4162e+002 4.0087e+002
 4.4687e+002 4.3087e+002
 4.5362e+002 4.6012e+002
 4.5512e+002 4.8937e+002
 4.6262e+002 5.1187e+002
 4.6937e+002 5.2762e+002
 4.7912e+002 5.3887e+002
 4.9937e+002 5.3962e+002
 5.1663e+002 5.3887e+002
 5.3763e+002 5.2537e+002
 5.5938e+002 5.0287e+002
 5.8638e+002 4.6687e+002
 6.1038e+002 4.3537e+002
 6.2088e+002 4.0987e+002
 6.2913e+002 3.8437e+002
 6.2913e+002 3.5437e+002
 6.2913e+002 3.2138e+002
 6.3363e+002 2.9438e+002
 6.3738e+002 2.6513e+002
 6.4563e+002 2.3288e+002
 6.5463e+002 2.0588e+002
 6.7113e+002 1.5938e+002
