  101  101
    2   43  9.215686e-001
    2   44  9.098039e-001
    2   45  8.901961e-001
    2   46  8.980392e-001
    2   47  9.254902e-001
    2   48  9.529412e-001
    2   49  9.568627e-001
    2   50  9.450980e-001
    2   51  9.411765e-001
    2   52  9.529412e-001
    2   53  9.686275e-001
    2   54  9.725490e-001
    2   55  9.764706e-001
    2   56  9.568627e-001
    2   57  9.372549e-001
    2   58  9.215686e-001
    2   59  8.862745e-001
    2   60  8.509804e-001
    2   61  8.392157e-001
    2   62  8.235294e-001
    2   63  7.960784e-001
    2   64  7.960784e-001
    2   65  8.000000e-001
    2   66  7.960784e-001
    2   67  8.235294e-001
    2   68  8.745098e-001
    2   69  8.980392e-001
    2   70  9.215686e-001
    2   71  9.333333e-001
    2   72  9.333333e-001
    2   73  9.372549e-001
    2   74  9.411765e-001
    2   75  9.294118e-001
    2   76  9.098039e-001
    2   77  8.901961e-001
    2   78  8.862745e-001
    2   79  8.980392e-001
    2   80  9.137255e-001
    2   81  9.098039e-001
    2   82  8.980392e-001
    2   83  8.901961e-001
    2   84  8.980392e-001
    2   85  9.058824e-001
    2   86  9.098039e-001
    2   87  9.019608e-001
    2   88  8.980392e-001
    2   89  9.176471e-001
    2   90  9.411765e-001
    2   91  9.490196e-001
    2   92  9.450980e-001
    2   93  9.176471e-001
    2   94  9.019608e-001
    2   95  9.098039e-001
    2   96  9.176471e-001
    2   97  9.294118e-001
    2   98  9.450980e-001
    2   99  1.000000e+000
    2  100  7.294118e-001
    3    0  8.196078e-001
    3    1  8.196078e-001
    3    2  8.313725e-001
    3    3  8.470588e-001
    3    4  8.509804e-001
    3    5  8.431373e-001
    3    6  8.470588e-001
    3    7  8.509804e-001
    3    8  8.549020e-001
    3    9  8.549020e-001
    3   10  8.509804e-001
    3   11  8.549020e-001
    3   12  8.745098e-001
    3   13  8.941176e-001
    3   14  8.823529e-001
    3   15  8.901961e-001
    3   16  8.941176e-001
    3   17  8.705882e-001
    3   18  8.470588e-001
    3   19  8.588235e-001
    3   20  9.058824e-001
    3   21  9.568627e-001
    3   22  9.411765e-001
    3   23  9.058824e-001
    3   24  8.666667e-001
    3   25  8.392157e-001
    3   26  8.156863e-001
    3   27  7.882353e-001
    3   28  7.764706e-001
    3   29  7.921569e-001
    3   30  8.078431e-001
    3   31  8.431373e-001
    3   32  8.745098e-001
    3   33  8.745098e-001
    3   34  8.470588e-001
    3   35  8.196078e-001
    3   36  8.156863e-001
    3   37  8.274510e-001
    3   38  8.509804e-001
    3   39  8.705882e-001
    3   40  8.901961e-001
    3   41  9.176471e-001
    3   42  9.372549e-001
    3   43  9.333333e-001
    3   44  9.215686e-001
    3   45  9.019608e-001
    3   46  8.862745e-001
    3   47  8.901961e-001
    3   48  9.176471e-001
    3   49  9.490196e-001
    3   50  9.607843e-001
    3   51  9.647059e-001
    3   52  9.686275e-001
    3   53  9.647059e-001
    3   54  9.725490e-001
    3   55  9.803922e-001
    3   56  9.764706e-001
    3   57  9.686275e-001
    3   58  9.568627e-001
    3   59  9.333333e-001
    3   60  8.980392e-001
    3   61  8.549020e-001
    3   62  8.392157e-001
    3   63  8.313725e-001
    3   64  8.431373e-001
    3   65  8.431373e-001
    3   66  8.313725e-001
    3   67  8.549020e-001
    3   68  8.941176e-001
    3   69  8.941176e-001
    3   70  9.098039e-001
    3   71  9.254902e-001
    3   72  9.333333e-001
    3   73  9.450980e-001
    3   74  9.490196e-001
    3   75  9.490196e-001
    3   76  9.294118e-001
    3   77  8.980392e-001
    3   78  8.901961e-001
    3   79  8.862745e-001
    3   80  8.941176e-001
    3   81  8.901961e-001
    3   82  8.862745e-001
    3   83  8.941176e-001
    3   84  9.098039e-001
    3   85  9.137255e-001
    3   86  9.098039e-001
    3   87  8.980392e-001
    3   88  8.901961e-001
    3   89  8.980392e-001
    3   90  9.215686e-001
    3   91  9.411765e-001
    3   92  9.450980e-001
    3   93  9.333333e-001
    3   94  9.176471e-001
    3   95  9.058824e-001
    3   96  9.058824e-001
    3   97  9.215686e-001
    3   98  9.490196e-001
    3   99  1.000000e+000
    3  100  7.450980e-001
    4    0  8.431373e-001
    4    1  8.274510e-001
    4    2  8.235294e-001
    4    3  8.274510e-001
    4    4  8.392157e-001
    4    5  8.470588e-001
    4    6  8.588235e-001
    4    7  8.705882e-001
    4    8  8.823529e-001
    4    9  8.901961e-001
    4   10  8.901961e-001
    4   11  8.784314e-001
    4   12  8.705882e-001
    4   13  8.705882e-001
    4   14  8.627451e-001
    4   15  8.745098e-001
    4   16  8.823529e-001
    4   17  8.549020e-001
    4   18  8.313725e-001
    4   19  8.549020e-001
    4   20  8.980392e-001
    4   21  9.254902e-001
    4   22  9.333333e-001
    4   23  9.176471e-001
