 time,stretch,activestress,displacement
 0.1000000, 1.0000000, 0.0000004, 0.0335980
 0.2000000, 1.0335980, 0.0000000, 0.0703870
 0.3000000, 1.0703870, 0.0000000, 0.1098230
 0.4000000, 1.1098230, 0.0000000, 0.1527793
 0.5000000, 1.1527793, 0.0000000, 0.1989379
 0.6000000, 1.1989379, 0.0000000, 0.1541453
 0.7000000, 1.1541453, 0.0000000, 0.1113021
 0.8000000, 1.1113021, 0.0000000, 0.0714598
 0.9000000, 1.0714598, 0.0000000, 0.0342308
 1.0000000, 1.0342308, 0.0000000, 0.0002849
